epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.3880208432674408,0.5747147798538208,1.161981225013733,0.5185185074806213,0.7296429872512817,0.9433608055114746
1,0.4956597089767456,0.6790505647659302,1.0306662321090698,0.604938268661499,0.7885707020759583,0.8671473860740662
2,0.5173611044883728,0.7023458480834961,0.9957842230796814,0.6111111044883728,0.7766060829162598,0.8755851984024048
3,0.5503472089767456,0.7294577360153198,0.9538100361824036,0.6234567761421204,0.7895423769950867,0.8538263440132141
4,0.5555555820465088,0.7469372749328613,0.9230462312698364,0.5370370149612427,0.7561347484588623,0.9173934459686279
5,0.5711805820465088,0.7658745646476746,0.8947829008102417,0.6234567761421204,0.8102423548698425,0.8163049817085266
6,0.5598958134651184,0.754554271697998,0.9120838642120361,0.6666666865348816,0.8214353919029236,0.7975743412971497
7,0.5633680820465088,0.7592312097549438,0.9067144393920898,0.6728395223617554,0.8269890546798706,0.7905603051185608
8,0.5772569179534912,0.7659689784049988,0.8933218717575073,0.6481481194496155,0.8252076506614685,0.7903734445571899
9,0.5928819179534912,0.7756903767585754,0.8858602643013,0.6604938507080078,0.8200350403785706,0.7988633513450623
10,0.6137152910232544,0.7974861264228821,0.8478794097900391,0.6604938507080078,0.8328284621238708,0.775732696056366
11,0.5894097089767456,0.7894786596298218,0.8514306545257568,0.654321014881134,0.8005163073539734,0.8367012739181519
12,0.6015625,0.8096123337745667,0.8191829919815063,0.6419752836227417,0.8197588324546814,0.7970222234725952
13,0.6354166865348816,0.8004792928695679,0.8401024341583252,0.654321014881134,0.8219593167304993,0.7956290245056152
14,0.6137152910232544,0.7956251502037048,0.8405131697654724,0.6728395223617554,0.8454408645629883,0.7460197806358337
15,0.6354166865348816,0.8094433546066284,0.8227416276931763,0.6481481194496155,0.8234167098999023,0.786649763584137
16,0.640625,0.8196254968643188,0.8053274750709534,0.6851851940155029,0.8410398960113525,0.7529150247573853
17,0.6059027910232544,0.8036564588546753,0.826788604259491,0.6358024477958679,0.8247504234313965,0.7894012928009033
18,0.6111111044883728,0.8111231327056885,0.8159769773483276,0.6728395223617554,0.8335809707641602,0.7705432772636414
19,0.6371527910232544,0.8200651407241821,0.8015970587730408,0.6604938507080078,0.8291800022125244,0.781891942024231
20,0.6336805820465088,0.8181421756744385,0.8011937141418457,0.6975308656692505,0.854652464389801,0.7287535667419434
21,0.6545138955116272,0.8259047269821167,0.7922840714454651,0.6419752836227417,0.8207113742828369,0.8108012080192566
22,0.6501736044883728,0.825493335723877,0.7925000786781311,0.6728395223617554,0.852994978427887,0.733008086681366
23,0.6423611044883728,0.8247931003570557,0.794852077960968,0.6604938507080078,0.8374962210655212,0.7677315473556519
24,0.6388888955116272,0.8332405090332031,0.7701880931854248,0.6728395223617554,0.8400111198425293,0.762365460395813
25,0.6328125,0.8230478167533875,0.7928490042686462,0.6234567761421204,0.8111664056777954,0.8328675627708435
26,0.6449652910232544,0.8251528739929199,0.7889809012413025,0.7037037014961243,0.8599584698677063,0.7138823866844177
27,0.6371527910232544,0.8256497383117676,0.7886417508125305,0.709876537322998,0.853366494178772,0.728811502456665
28,0.6432291865348816,0.8349524140357971,0.7693939805030823,0.6790123581886292,0.8506991863250732,0.7358595728874207
29,0.6631944179534912,0.8367407321929932,0.7689513564109802,0.6666666865348816,0.8456504344940186,0.7495173811912537
