epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.4626736044883728,0.6277151107788086,1.1116275787353516,0.5740740895271301,0.7822740077972412,0.8868404626846313
1,0.5078125,0.7084448337554932,0.9808670878410339,0.6172839403152466,0.8097374439239502,0.8239090442657471
2,0.6015625,0.7744547724723816,0.8843984007835388,0.6234567761421204,0.8093469142913818,0.812912106513977
3,0.6119791865348816,0.7972208261489868,0.8434274196624756,0.6358024477958679,0.834495484828949,0.7654324769973755
4,0.6276041865348816,0.8143370747566223,0.8133313059806824,0.654321014881134,0.8473174571990967,0.7382259964942932
5,0.6475694179534912,0.8322137594223022,0.7762200236320496,0.6666666865348816,0.8540904521942139,0.7220351099967957
6,0.6770833134651184,0.8472219705581665,0.7470834255218506,0.6790123581886292,0.8498133420944214,0.7273656725883484
7,0.6588541865348816,0.8451871275901794,0.7442284822463989,0.6851851940155029,0.8598251342773438,0.7071637511253357
8,0.6692708134651184,0.844582200050354,0.749768853187561,0.6851851940155029,0.8504610061645508,0.7265841364860535
9,0.6814236044883728,0.8548357486724854,0.7282612323760986,0.7037037014961243,0.8536713123321533,0.7206942439079285
10,0.6736111044883728,0.8630263209342957,0.7031800746917725,0.6851851940155029,0.8658360242843628,0.6888837218284607
11,0.6927083134651184,0.8656196594238281,0.7026547789573669,0.6666666865348816,0.8397252559661865,0.7566766738891602
12,0.6753472089767456,0.856575071811676,0.716271162033081,0.7283950448036194,0.8660931587219238,0.6908491253852844
13,0.6883680820465088,0.8708016872406006,0.6888939738273621,0.6790123581886292,0.8535094261169434,0.7205086946487427
14,0.6901041865348816,0.8696286678314209,0.6906008124351501,0.7037037014961243,0.8693702220916748,0.6840564608573914
15,0.7065972089767456,0.8793042898178101,0.6693470478057861,0.709876537322998,0.8722184300422668,0.6788304448127747
16,0.7065972089767456,0.8815386891365051,0.6602227091789246,0.6975308656692505,0.8761526346206665,0.6661452054977417
17,0.6822916865348816,0.8628581762313843,0.7050167918205261,0.709876537322998,0.8802679181098938,0.6565362215042114
18,0.7074652910232544,0.87310791015625,0.6805733442306519,0.7283950448036194,0.8757906556129456,0.6701511144638062
19,0.7074652910232544,0.8774107098579407,0.6743975877761841,0.7222222089767456,0.879810631275177,0.6601800322532654
20,0.7100694179534912,0.8804511427879333,0.6628115177154541,0.7160493731498718,0.877381443977356,0.6677354574203491
21,0.7291666865348816,0.8872808218002319,0.6507607698440552,0.7037037014961243,0.8760955333709717,0.6703935265541077
22,0.703125,0.8800823092460632,0.6633075475692749,0.709876537322998,0.8807632327079773,0.6570711731910706
